,SBGA_DaS,SBS_GA
476,369.63263465722036,350.1477059999999
477,0.0003395439406474354,0.000836
478,3.076418063385928,3.9196249999999973
479,8917.797692456455,10642.720909999998
480,0.0014189896053423171,0.003854999999999998
481,352.0869376863505,348.78967000000006
482,0.00034800046683293174,0.000785
483,4.323374226480369,4.558554
484,10605.721378748201,10870.824772
485,0.0014137017873045406,0.003569000000000002
486,369.91838089046144,371.8681039999999
487,0.00036409824279135525,0.0007479999999999998
488,3.5979667333105825,4.350938999999998
489,10843.865529641496,11303.126633999991
490,0.0015365169440891614,0.003774
491,345.4275157709911,361.4134849999998
492,0.0006370160389012244,0.0007750000000000002
493,3.8007790684756437,3.9612050000000028
494,8630.840480365774,10533.004726000008
495,0.0019800447047892966,0.004686999999999998
496,340.8127682642628,372.3885470000003
497,0.0004087007318882674,0.000916
498,7.636482937654602,4.432214000000001
499,10679.764082659734,10647.99247
